# Format: message ID<tab>[p|s][v]<tab>format string
# Lines starting with # or lacking two tabs will be ignored.
# p means popup, s means display in status bar, v means verbose.
# Disposition can be left blank.
# message ID's should not contain tab characters or newlines;
#    messages containing these characters should be given identifiers
# format strings should be wrapped in "", and will be interpreted
#    just like C strings

No mapping for $1 in project $2.	p	"No mapping for $1 in project $2."
No mapping for $1 in project $2	p	"No mapping for $1 in project $2"

Could not open definition for the current selection.	p	"Could not open definition for the current selection."
No structs selected for removal: nothing to do.	p	"No structs selected for removal: nothing to do."
Cannot add $1 to Data Chart: wrong kind of entity.	p	"Cannot add $1 to Data Chart: wrong kind of entity."
No class selected for removal: nothing to do.	p	"No class selected for removal: nothing to do."
Cannot add $1 to ERD: wrong kind of entity.	p	"Cannot add $1 to ERD: wrong kind of entity."
"$1" cannot be viewed as text.	p	"\"$1\" cannot be viewed as text."
Button already exists.	p	"Button already exists."
Cannot open inheritance view of non-class '$1'	p	"Cannot open inheritance view of non-class '$1'"
Cannot open inheritance view of non-class.	p	"Cannot open inheritance view of non-class."
Only functions can be displayed in flowcharts. Please make sure that the selection contains only functions.	p	"Only functions can be displayed in flowcharts. Please make sure that the selection contains only functions."
The MiniBrowser History Length must be an integer, not '$1'.	p	"The MiniBrowser History Length must be an integer, not \'$1\'."
The MiniBrowser History Length must be greater than 1	p	"The MiniBrowser History Length must be greater than 1"
The MiniBrowser History Length must be less than 31	p	"The MiniBrowser History Length must be less than 31"
This operation requires exactly one selection.	p	"This operation requires exactly one selection."
This operation requires exactly two selections.	p	"This operation requires exactly two selections."
This operation requires one or more selections.	p	"This operation requires one or more selections."
This operation requires two or more selections.	p	"This operation requires two or more selections."
Duplicate group name specified.	p	"Duplicate group name specified."
Following project(s) not found: $1	p	"Following project(s) not found: $1"
no_modules_selected:browser_callbacks.C	p	"No modules are selected."
Object code module $1 is not viewable.	p	"Object code module $1 is not viewable."
Relations between groups and subsystems are not allowed	p	"Relations between groups and subsystems are not allowed"
error printing: OS reports message '$1'; status: $2	p	"error printing: OS reports message '$1'; status: $2"
No graph was built for the specified data.	p	"No graph was built for the specified data."
DISCOVER font location $1	v	"DIScover font location $1"
$1th command line option empty	v	"$1th command line option empty"
There is no font name after '-fn'	v	"There is no font name after \'-fn\'"
There is no X server name after '-display'	v	"There is no X server name after \'-display\'"
Server_Vendor:dis_setfont.C	v	"Server Vendor:\t\t$1"
